target	previous. context context context context context target context context. following	(50, 56)	previous. context context context context context target context context. following	(50, 56)
target	previous. context context context context context target context context. following	(50, 56)	previous. context context context context context target context context. following	(50, 56)
target	something something something target something something.	(30, 36)	previous. context context context context context target context context. following	(50, 56)
target	previous. context context context context context target context context. following	(50, 56)	something something something target something something.	(30, 36)
target	something something something target something something.	(30, 36)	previous. context context context context context target context context. following	(50, 56)
target	Unfortunately, this is a random sentence.	(0, 13)	previous. context context context context context target context context. following	(50, 56)
target	Unfortunately, this is a random sentence.	(0, 13)	previous. context context context context context target context context. following	(50, 56)
target	previous. context context context context context target context context. following	(50, 56)	previous. context context context context context target context context. following	(50, 56)
target	something something something target something something.	(30, 36)	previous. context context context context context target context context. following	(50, 56)
target	previous. context context context context context target context context. following	(50, 56)	something something something target something something.	(30, 36)
target	something something something target something something.	(30, 36)	previous. context context context context context target context context. following	(50, 56)
target	Unfortunately, this is a random sentence.	(0, 13)	previous. context context context context context target context context. following	(50, 56)
target	Unfortunately, this is a random sentence.	(0, 13)	previous. context context context context context target context context. following	(50, 56)
target	something something something target something something.	(30, 36)	previous. context context context context context target context context. following	(50, 56)
target	something something something target something something.	(30, 36)	previous. context context context context context target context context. following	(50, 56)
target	something something something target something something.	(30, 36)	previous. context context context context context target context context. following	(50, 56)
target	Unfortunately, this is a random sentence.	(0, 13)	previous. context context context context context target context context. following	(50, 56)
target	Unfortunately, this is a random sentence.	(0, 13)	previous. context context context context context target context context. following	(50, 56)
target	something something something target something something.	(30, 36)	something something something target something something.	(30, 36)
target	something something something target something something.	(30, 36)	something something something target something something.	(30, 36)
target	something something something target something something.	(30, 36)	Unfortunately, this is a random sentence.	(0, 13)
target	something something something target something something.	(30, 36)	Unfortunately, this is a random sentence.	(0, 13)
target	something something something target something something.	(30, 36)	something something something target something something.	(30, 36)
target	Unfortunately, this is a random sentence.	(0, 13)	something something something target something something.	(30, 36)
target	Unfortunately, this is a random sentence.	(0, 13)	something something something target something something.	(30, 36)
target	something something something target something something.	(30, 36)	Unfortunately, this is a random sentence.	(0, 13)
target	something something something target something something.	(30, 36)	Unfortunately, this is a random sentence.	(0, 13)
target	Unfortunately, this is a random sentence.	(0, 13)	Unfortunately, this is a random sentence.	(0, 13)
