carry	You must carry your camping gear .	(9, 14)	Sound carries well over water .	(6, 13)
go	Messages must go through diplomatic channels .	(14, 16)	Do you think the sofa will go through the door ?	(27, 29)
break	Break an alibi .	(0, 5)	The wholesaler broke the container loads into palettes and boxes for local retailers .	(15, 20)
cup	He wore a jock strap with a metal cup .	(34, 37)	Bees filled the waxen cups with honey .	(22, 26)
academy	The Academy of Music .	(4, 11)	The French Academy .	(11, 18)
set	Set the table .	(0, 3)	To set glass in a sash .	(3, 6)
starch	Starch clothes .	(0, 6)	She starched her blouses .	(4, 12)
take	Do you take sugar in your coffee ?	(7, 11)	A reading was taken of the earth 's tremors .	(14, 19)
avoid	I try to avoid the company of gamblers .	(9, 14)	We avoided the ball .	(3, 10)
clearance	He got clearance to travel to America , even though he had previous links to terrorists .	(7, 16)	The plane got clearance from air traffic control , and we were off .	(14, 23)
come	Come out of the closet !	(0, 4)	He came singing down the road .	(3, 7)
coverage	Before laying sod on that clay , the ground needs two inches of coverage with topsoil .	(64, 72)	The dictionary 's coverage of standard English is excellent .	(18, 26)
death	Her death came as a terrible shock .	(4, 9)	He had two deaths on his conscience .	(11, 17)
despite	The despite in which outsiders were held is legendary .	(4, 11)	She wanted neither favor nor despite .	(29, 36)
school	A school of small glittering fish swam by .	(2, 8)	The divers encountered a huge school of mackerel .	(30, 36)
go	We should go farther in this matter .	(10, 12)	She went through a lot of trouble .	(4, 8)
action	The United Nations must have the power to propose and organize action without being hobbled by irrelevant issues .	(63, 69)	Recent federal action undermined the segregationist position .	(15, 21)
fall	Fall by the wayside .	(0, 4)	The cities fell to the enemy .	(11, 15)
work	This dough does not work easily .	(20, 24)	Work the phones .	(0, 4)
shock	The armies met in the shock of battle .	(22, 27)	The train hit the buffers with a great shock .	(39, 44)
play	This speech did n't play well with the American public .	(20, 24)	Play football .	(0, 4)
make	What do you make of his remarks ?	(12, 16)	Make a dress .	(0, 4)
end	The so-called glorious experiment came to an inglorious end .	(56, 59)	The end was exciting .	(4, 7)
break	There was a break in the action when a player was hurt .	(12, 17)	He was up two breaks in the second set .	(14, 20)
life	It was a heavy play and the actors tried in vain to give life to it .	(57, 61)	The life of this milk carton may be thousands of years in this landfill .	(4, 8)
person	There was too much for one person to do .	(27, 33)	Each person is unique , both mentally and physically .	(5, 11)
answer	Answer the door .	(0, 6)	She answered the door .	(4, 12)
do	All you ever do is surf the Internet .	(13, 15)	A ' B ' grade does n't suffice to get me into medical school .	(14, 18)
play	Play fair .	(0, 4)	Play football .	(0, 4)
see	What message do you see in this letter ?	(20, 23)	We had to see a psychiatrist .	(10, 13)
buff	To strip to the buff .	(16, 20)	Swimming in the buff .	(16, 20)
boy	She made the boy brush his teeth every night .	(13, 16)	Most soldiers are only boys in uniform .	(23, 27)
picture	She was the picture of despair .	(12, 19)	The very picture of a modern general .	(9, 16)
answer	She did n't want to answer .	(20, 26)	This may answer her needs .	(9, 15)
head	Tickets are $ 5 per head .	(20, 24)	He is two heads taller than his little sister .	(10, 15)
break	Break into tears .	(0, 5)	If the vase falls to the floor , it might break .	(42, 47)
die	To die to pleasure or to sin .	(3, 6)	She died from cancer .	(4, 8)
peak	The stock market reached a peak in September 1929 .	(27, 31)	Voltage peak .	(8, 12)
civilization	A hermit does n't much care for civilization .	(32, 44)	Early Mayan civilization .	(12, 24)
carry	These bonds carry warrants .	(12, 17)	She carries her ideas to the extreme .	(4, 11)
shot	He wanted a shot at the champion .	(12, 16)	I caught him with a solid shot to the chin .	(26, 30)
body	The body of the car was badly rusted .	(4, 8)	Penny was in the scullery , pressing the body of her new dress .	(41, 45)
cut	Cut a ticket .	(0, 3)	Cut orders .	(0, 3)
recognition	She seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own .	(38, 49)	Give her recognition for trying .	(9, 20)
shift	You have to shift when you go down a steep hill .	(12, 17)	He shifted in his seat .	(3, 10)
cube	A stock cube .	(8, 12)	A sugar cube .	(8, 12)
follow	Let 's follow our great helmsman !	(7, 13)	He followed his lecture with a question and answer period .	(3, 11)
apply	I apply this rule to get good results .	(2, 7)	Apply a magnetic field here .	(0, 5)
fall	Fall asleep .	(0, 4)	She fell ill .	(4, 8)
make	She may not make the grade .	(12, 16)	Make a stir .	(0, 4)
head	Under the head of minor Roman poets .	(10, 14)	They tracked him back toward the head of the stream .	(33, 37)
head	A reduction in the assessment per head of sheep .	(34, 38)	200 head of cattle and 50 head of horses .	(4, 8)
give	Give a divorce .	(0, 4)	The wall gave in .	(9, 13)
drive	To drive sheep out of a field .	(3, 8)	Drive the cows into the barn .	(0, 5)
fall	Fall by the wayside .	(0, 4)	To fall a tree .	(3, 7)
gob	He ′s always stuffing his gob with fast food .	(26, 29)	She 's got such a gob on her – she′s always gossiping about someone or other .	(18, 21)
scale	The scale of the map .	(4, 9)	The scale of the model .	(4, 9)
stand	We had to stand for the entire performance !	(10, 15)	On the pedestal stood a statue .	(16, 21)
make	She may not make the grade .	(12, 16)	He made twenty bucks playing poker last night .	(3, 7)
furniture	The woman does not even have one stick of furniture moved in yet .	(42, 51)	There was only one piece of furniture in the room .	(28, 37)
give	Give a yelp .	(0, 4)	This student gives promise of real creativity .	(13, 18)
cut	Cut a movie scene .	(0, 3)	Cut a Ping-Pong ball .	(0, 3)
extension	Most BASIC files use the filename extension .BAS .	(34, 43)	A text file will have a file extension of .txt .	(29, 38)
seat	He was elected to a seat in the Senate .	(20, 24)	He dusted off the seat before sitting down .	(18, 22)
make	Make enemies .	(0, 4)	What do you make of his remarks ?	(12, 16)
make	We should make Cincinnati by 7 tonight .	(10, 14)	Make the bed .	(0, 4)
take	Do you take me for a fool ?	(7, 11)	Looking at him as he came into the room , I took him for his father .	(44, 48)
tea	Tea has fragrant white flowers .	(0, 3)	Iced tea is a cooling drink .	(5, 8)
take	Take sick .	(0, 4)	I estimate the trip will take about ten minutes .	(25, 29)
way	Do you know the way to the airport ?	(16, 19)	He said he was looking for the way out .	(31, 34)
head	The head of the compass needle is pointing due north .	(4, 8)	200 head of cattle .	(4, 8)
lift	Lift the box onto the table .	(0, 4)	I lifted the books .	(2, 8)
space	The astronauts walked in outer space without a tether .	(31, 36)	The space between his teeth .	(4, 9)
score	What was your score on your homework ?	(14, 19)	The score was 7 to 0 .	(4, 9)
work	How does your idea work in practice ?	(19, 23)	The voting process does n't work as well as people thought .	(28, 32)
double	He could be Gingrich 's double .	(24, 30)	Saddam Hussein was rumored to have many doubles .	(40, 47)
space	The space between his teeth .	(4, 9)	The architect left space in front of the building .	(19, 24)
fix	Fix breakfast for the guests , please .	(0, 3)	That 'll fix him good !	(9, 12)
head	Matters came to a head yesterday .	(18, 22)	The head of the column advanced boldly .	(4, 8)
show	He bet $ 2 on number six to show .	(28, 32)	I showed the customer the glove section .	(2, 8)
take	I take it you 're not going ?	(2, 6)	He was often taken to be a man of means .	(13, 18)
cut	The employer wants to cut back health benefits .	(22, 25)	Cut trenches .	(0, 3)
cot	A roller cot ( the clothing of a drawing roller in a spinning frame ) .	(9, 12)	A cot for a sore finger .	(2, 5)
run	These dyes and colors are guaranteed not to run .	(44, 47)	The sale will run for ten days .	(14, 17)
see	Now I see !	(6, 9)	I want to see whether she speaks French .	(10, 13)
drive	Drive the cows into the barn .	(0, 5)	Their debts finally drove them to sell the business .	(20, 25)
bit	A bit of lint .	(2, 5)	The horse was not accustomed to a bit .	(34, 37)
stir	Stir the soil .	(0, 4)	Stir emotions .	(0, 4)
trombone	This trombone is very expensive .	(5, 13)	Jim plays the trombone very well .	(14, 22)
fall	To fall a tree .	(3, 7)	Night fell .	(6, 10)
trace	Trace your path .	(0, 5)	Trace the outline of a figure in the sand .	(0, 5)
take	Take a pulse .	(0, 4)	A reading was taken of the earth 's tremors .	(14, 19)
carry	I will carry the secret to my grave .	(7, 12)	I carry a lot of life insurance .	(2, 7)
body	Penny was in the scullery , pressing the body of her new dress .	(41, 45)	Heavenly body .	(9, 13)
hold	I hold with those who say life is sacred .	(2, 6)	Hold all calls to the President 's office while he is in a meeting .	(0, 4)
build	Build a reputation .	(0, 5)	Build detergents .	(0, 5)
smooth	Smooth the way towards peace negotiations .	(0, 6)	Smooth the surface of the wood .	(0, 6)
carry	We carry a very large mortgage .	(3, 8)	The troops carried the town after a brief fight .	(11, 18)
war	The war against crime .	(4, 7)	The " war on terror " is a campaign against terrorist crime .	(6, 9)
reply	Please reply to my letter .	(7, 12)	He replied that he was not sure .	(3, 10)
house	The children were playing house .	(26, 31)	She felt she had to get out of the house .	(35, 40)
position	What position does he play ?	(5, 13)	Stop running all over the field and play your position !	(46, 54)
play	Play sports .	(0, 4)	Who 's playing now ?	(7, 14)
circus	The circus will be in town next week .	(4, 10)	He ran away from home to join the circus .	(34, 40)
break	Break a law .	(0, 5)	Her voice broke to a whisper when she started to talk about her children .	(10, 15)
woodenness	There was a certain woodenness in his replies .	(20, 30)	He criticized the woodenness of the acting .	(18, 28)
wreck	Thanks to that quack I am a human wreck .	(34, 39)	The house was a wreck when they bought it .	(16, 21)
catch	Catch the mood .	(0, 5)	Do n't catch your meaning .	(7, 12)
blip	Renewed jitters in the wake of a blip in retail sales .	(33, 37)	The market had one bad blip today .	(23, 27)
vegetate	The fields vegetate vigorously .	(11, 19)	The bacterial growth vegetated along .	(21, 30)
drag	Peeling potatoes is a drag .	(22, 26)	He took a drag on his cigarette and expelled the smoke slowly .	(10, 14)
score	He tried to blame the victim but his success on that score was doubtful .	(53, 58)	Settling a score .	(11, 16)
head	She gave great head .	(15, 19)	They tracked him back toward the head of the stream .	(33, 37)
volume	Please turn down the volume on the stereo .	(21, 27)	The kids played their music at full volume .	(36, 42)
top	He removed the top of the carton .	(15, 18)	He could n't get the top off of the bottle .	(21, 24)
stand	We had to stand for the entire performance !	(10, 15)	There stood on the corner a statue .	(6, 11)
breath	He took a deep breath and dived into the pool .	(15, 21)	I could feel the runner 's breath on my shoulder .	(27, 33)
take	Take steps .	(0, 4)	Take action .	(0, 4)
stuff	What is all that stuff on your bedroom floor ?	(17, 22)	You do n't have the stuff to be a United States Marine .	(20, 25)
raise	Raise a mutiny .	(0, 5)	Raise the roof .	(0, 5)
fire	We sat around the fire singing songs and telling stories .	(18, 22)	Barbecue over an open fire .	(22, 26)
start	Start a new job .	(0, 5)	I start my day with a good breakfast .	(2, 7)
run	The sale will run for ten days .	(14, 17)	The meeting ran late .	(12, 15)
do	Do nothing .	(0, 2)	A ' B ' grade does n't suffice to get me into medical school .	(14, 18)
absence	He was surprised by the absence of any explanation .	(24, 31)	Absence makes the heart grow fonder .	(0, 7)
cut	Cut a check .	(0, 3)	Cut the rope .	(0, 3)
ream	Ream oranges .	(0, 4)	The dentist reamed out the debris in the course of the root canal treatment .	(12, 18)
run	Do n't run that software unless you have permission . ' .	(7, 10)	Run rogue .	(0, 3)
run	I will run the sample .	(7, 10)	Our coach had us running plays for the whole practice .	(17, 24)
keep	May God keep you .	(8, 12)	The student was kept after school .	(16, 20)
work	Work one 's way through the crowd .	(0, 4)	She never worked because she inherited a lot of money .	(10, 16)
draw	Draw water for a bath .	(0, 4)	Draw parallels .	(0, 4)
make	Clothes make the man .	(8, 12)	He made to speak but said nothing in the end .	(3, 7)
admit	We 'll have to vote on whether or not to admit a new member .	(41, 46)	He admitted his guilt .	(3, 11)
take	You ca n't take credit for this !	(11, 15)	We took an apartment on a quiet street .	(3, 7)
make	Make a mess in one 's office .	(0, 4)	She 'll make a fine president .	(8, 12)
stake	I will stake my good reputation for this .	(7, 12)	Stake your goat .	(0, 5)
make	He did n't make the choir after his voice changed .	(11, 15)	You have to spend money to make money !	(27, 31)
order	The machine is now in working order .	(30, 35)	A friend in New Mexico said that the order caused no trouble out there .	(37, 42)
work	The voting process does n't work as well as people thought .	(28, 32)	This method does n't work .	(21, 25)
stuff	There 's good stuff in that book .	(14, 19)	The stuff of heros .	(4, 9)
interception	He resorted to the interception of his daughter 's letters .	(19, 31)	He claimed that the interception of one missile by another would be impossible .	(20, 32)
raise	Raise a smile .	(0, 5)	Raise your ` o ' .	(0, 5)
place	If you were in my place what would you do ?	(18, 23)	He has a special place in my thoughts .	(17, 22)
take	Take steps .	(0, 4)	Shall we take a guide in Rome ?	(9, 13)
head	They say he gives good head .	(23, 27)	The head of the list .	(4, 8)
drug	You look like someone drug you behind a horse for half a mile .	(22, 26)	They drugged the kidnapped tourist .	(5, 12)
place	He overstepped his place .	(19, 24)	He put the lamp back in its place .	(28, 33)
raise	Raise the question of promotions .	(0, 5)	Raise from the dead .	(0, 5)
fall	Fall by the wayside .	(0, 4)	Christmas falls on a Monday this year .	(10, 15)
keep	Keep my job for me while I give birth .	(0, 4)	Keep a diary .	(0, 4)
defense	In defense he said the other man started it .	(3, 10)	The artillery battered down the defenses .	(32, 40)
take	We take all major credit cards .	(3, 7)	Do you take sugar in your coffee ?	(7, 11)
give	Give homage .	(0, 4)	She gave herself to many men .	(4, 8)
check	Check the brakes .	(0, 5)	Check the oil in your car once a month .	(0, 5)
restraint	The unlawful restraint of trade .	(13, 22)	Restraints imposed on imports .	(0, 10)
hold	He can hold his liquor .	(7, 11)	To carry well , i.e. to hold the head high , with arching neck .	(24, 28)
visit	Did you ever visit Paris ?	(13, 18)	The principal visited his rage on the students .	(14, 21)
line	A nice line of shoes .	(7, 11)	They were arrayed in line of battle .	(21, 25)
make	What do you make of his remarks ?	(12, 16)	Make a mistake .	(0, 4)
break	Can you break a hundred-dollar bill for me ?	(8, 13)	The wholesaler broke the container loads into palettes and boxes for local retailers .	(15, 20)
point	Life has lost its point .	(18, 23)	He broke the point of his pencil .	(13, 18)
product	That store offers a variety of products .	(31, 39)	That store offers a variety of products .	(31, 39)
cover	The grant does n't cover my salary .	(19, 24)	The President covered the fact that he bugged the offices in the White House .	(14, 21)
run	Run a subject .	(0, 3)	I 'm not ready to run a marathon .	(18, 21)
